2019-10-23 15:58:51,650 [WARN ]  (DeprecationWarning.java.verifyIndirectTypes:70) - Using indirect @Deprecated Class org.springframework.web.util.Log4jConfigListener - (seen from class com.tscloud.portal.utils.LoggerIntergrationListener)
2019-10-23 15:58:53,137 [WARN ]  (ServiceAnnotationBeanPostProcessor.java.registerServiceBeans:155) -  [DUBBO] No Spring Bean annotating Dubbo's @Service was found under package[com.tscloud.portal.restful], dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:53,233 [WARN ]  (SpringExtensionFactory.java.getExtension:63) -  [DUBBO] No spring extension (bean) named:defaultCompiler, try to find an extension (bean) of type java.lang.String, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:53,261 [WARN ]  (SpringExtensionFactory.java.getExtension:81) -  [DUBBO] No spring extension (bean) named:defaultCompiler, type:java.lang.String found, stop get bean., dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,245 [WARN ]  (SingleSignOutHandler.java.init:147) - Front Channel single sign out redirects are disabled when the 'casServerUrlPrefix' value is not set.
2019-10-23 15:58:56,468 [WARN ]  (ServiceAnnotationBeanPostProcessor.java.registerServiceBeans:155) -  [DUBBO] No Spring Bean annotating Dubbo's @Service was found under package[com.tscloud.portal.restful], dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,536 [WARN ]  (ApplicationModel.java.initConsumerModel:65) -  [DUBBO] Already register the same consumer:com.tscloud.domain.resource.provider.ICatalogProvider, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,584 [WARN ]  (ApplicationModel.java.initConsumerModel:65) -  [DUBBO] Already register the same consumer:com.tscloud.domain.resource.provider.IComponentsProvider, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,630 [WARN ]  (ApplicationModel.java.initConsumerModel:65) -  [DUBBO] Already register the same consumer:com.tscloud.domain.resource.provider.IDataProvider, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,666 [WARN ]  (ApplicationModel.java.initConsumerModel:65) -  [DUBBO] Already register the same consumer:com.tscloud.domain.resource.provider.IDataSourceProvider, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,713 [WARN ]  (ApplicationModel.java.initConsumerModel:65) -  [DUBBO] Already register the same consumer:com.tscloud.domain.resource.provider.IDataSetsCatalogProvider, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,760 [WARN ]  (ApplicationModel.java.initConsumerModel:65) -  [DUBBO] Already register the same consumer:com.tscloud.domain.resource.provider.IDataSetsProvider, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,805 [WARN ]  (ApplicationModel.java.initConsumerModel:65) -  [DUBBO] Already register the same consumer:com.tscloud.domain.resource.provider.IThemeImgProvider, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,852 [WARN ]  (ApplicationModel.java.initConsumerModel:65) -  [DUBBO] Already register the same consumer:com.tscloud.domain.resource.provider.IThemeProvider, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 15:58:56,893 [WARN ]  (ApplicationModel.java.initConsumerModel:65) -  [DUBBO] Already register the same consumer:com.tscloud.domain.resource.provider.ILayoutProvider, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:50,829 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSetsProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSetsProvider&methods=findByMap,findById,save,deleteById,update,checkName,findByPage,findAll,moveToCatalog&pid=19116&side=consumer&timestamp=1571817536718 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:50,875 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.IDataSourceProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.IDataSourceProvider&methods=getDataById,findByMap,findById,getTableByParam,save,deleteById,update,checkName,findByPage,findAll,checkConn&pid=19116&side=consumer&timestamp=1571817536632 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
2019-10-23 16:24:50,953 [WARN ]  (RegistryDirectory.java.notify:200) -  [DUBBO] Unsupported category providers,configurators,routers in notified url: empty://192.168.64.1/com.tscloud.domain.resource.provider.ILayoutProvider?application=com-tscloud-portal&category=providers,configurators,routers&default.loadbalance=random&default.timeout=20000&dubbo=2.0.2&interface=com.tscloud.domain.resource.provider.ILayoutProvider&methods=findByMap,findById,save,deleteById,update,findByPage,findAll&pid=19116&side=consumer&timestamp=1571817536854 from registry 127.0.0.1:2181 to consumer 192.168.64.1, dubbo version: 2.6.5, current host: 192.168.64.1
